group,name,ref_temperature,ref_pct_chg,ref_amount,ref_rs
A股-医药健康,医疗服务,温,-0.2%,465亿,100
A股-医药健康,医药商业,平,-0.6%,94亿,96
A股-医药健康,化学制药,温,-0.2%,535亿,90
A股-医药健康,中药,平,-0.5%,151亿,86
A股-医药健康,生物制品,平,-0.4%,172亿,76
A股-医药健康,医疗器械,平,+0.3%,206亿,66
A股-综合与商业服务,工程咨询与专业服务,平,+1.6%,198亿,98
A股-综合与商业服务,社会服务,平,+0.8%,164亿,70
A股-综合与商业服务,综合企业,平,+3.4%,31亿,58
A股-消费,服装纺织,平,+0.6%,92亿,94
A股-消费,白酒,平,+0.3%,166亿,92
A股-消费,食品饮料,平,+0.5%,178亿,88
A股-消费,珠宝饰品,平,-0.1%,28亿,78
A股-消费,家电家居,平,-0.3%,209亿,64
A股-消费,饲料动保,平,+0.7%,56亿,62
A股-消费,商贸零售,平,-0.2%,11亿,60
A股-消费,美容护理,平,-0.0%,37亿,56
A股-消费,农牧养殖,平,+0.3%,240亿,38
A股-消费,旅游酒店,平,+0.3%,42亿,34
A股-互联网与传媒,游戏传媒,平,+0.9%,582亿,80
A股-互联网与传媒,AI与数据服务,平,+1.5%,27亿,72
A股-互联网与传媒,软件与IT服务,平,+0.3%,920亿,54
A股-互联网与传媒,互联网电商,平,+1.1%,32亿,44
A股-互联网与传媒,通信运营服务,平,+0.0%,148亿,42
A股-能源与公用事业,油气能源,平,-2.4%,164亿,82
A股-能源与公用事业,煤炭,平,-1.2%,132亿,74
A股-能源与公用事业,电力公用,平,-0.3%,531亿,16
A股-材料与资源,金属钢铁,平,+0.9%,0.2万亿,68
A股-材料与资源,化工材料,平,+0.2%,562亿,48
A股-材料与资源,基础耗材与包装,平,+1.0%,643亿,14
A股-地产基建,房地产开发,平,+3.6%,224亿,84
A股-地产基建,建筑建材,平,+1.3%,117亿,40
A股-地产基建,基建工程,平,+0.1%,104亿,8
A股-工业制造与交通,交通运输与物流,平,+0.2%,186亿,50
A股-工业制造与交通,环保设备与服务,平,+1.5%,47亿,46
A股-工业制造与交通,电气电网设备,平,+1.2%,585亿,36
A股-工业制造与交通,机械设备,平,+1.1%,0.1万亿,32
A股-工业制造与交通,自动化与机器人,平,+1.2%,477亿,30
A股-工业制造与交通,汽车零部件,平,+0.8%,420亿,26
A股-工业制造与交通,光伏风电设备,平,+1.8%,439亿,24
A股-工业制造与交通,动力电池,平,+1.0%,586亿,22
A股-工业制造与交通,轨交军工装备,平,+0.8%,481亿,2
A股-工业制造与交通,汽车整车,平,+0.4%,149亿,0
A股-科技硬件,电子元件材料,平,+2.3%,0.2万亿,52
A股-科技硬件,消费电子,平,+0.6%,641亿,28
A股-科技硬件,计算机设备,平,+0.4%,246亿,20
A股-科技硬件,通信设备,平,+3.7%,0.2万亿,10
A股-科技硬件,半导体,平,+1.9%,0.3万亿,6
A股-科技硬件,光学电子,平,+1.9%,438亿,4
A股-金融,银行,平,-0.4%,214亿,18
A股-金融,证券保险,平,+0.3%,302亿,12
